COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
3	1	0.2567374845966697	0	2632	0.25
4	2	0.5066599790006876	0	2632	0.25
3	3	0.7525149593129754	0	2632	0.25
-1	6	1.002209996804595	0	2632	0.25
-1	9	1.2534649763256311	0	2632	0.25
1	10	1.5022124955430627	0	2632	0.25
4	11	1.7532149981707335	0	2632	0.25
-1	15	2.0032099820673466	0	2632	0.25
-1	16	2.2523299790918827	1	2632	0.25
-1	17	2.5019949534907937	0	2632	0.25
1	18	2.7538549806922674	0	2632	0.25
1	19	3.002562476322055	0	2632	0.25
-1	24	3.252609958872199	0	2632	0.25
-1	27	3.5018124617636204	0	2632	0.25
-1	28	3.75230495352298	1	2632	0.25
-1	29	4.00197995826602	1	2632	0.25
-1	30	4.252024982124567	2	2632	0.25
-1	32	4.501862456090748	3	2632	0.25
-1	33	4.751967480406165	2	2632	0.25
-1	34	5.00212746206671	1	2632	0.25
-1	35	5.253457501530647	1	2632	0.25
-1	41	5.503982459194958	1	2632	0.25
-1	42	5.753499954007566	0	2632	0.25
-1	46	6.0022749658674	0	2632	0.25
-1	48	6.252214978449047	0	2632	0.25
-1	51	6.501889983192086	0	2632	0.25
-1	52	6.753499978221953	0	2632	0.25
-1	54	7.003377475775778	1	2632	0.25
-1	55	7.252494958229363	1	2632	0.25
-1	56	7.502912459895015	0	2632	0.25
4	57	7.7524174796417356	0	2632	0.25
-1	62	8.002419965341687	1	2632	0.25
-1	63	8.252182505093515	2	2632	0.25
-1	64	8.50182497408241	2	2632	0.25
-1	65	8.752194964326918	1	2632	0.25
-1	66	9.002919956110418	0	2632	0.25
-1	73	9.252399955876172	0	2632	0.25
-1	75	9.50208246242255	0	2632	0.25
-1	77	9.751744978129864	0	2632	0.25
-1	78	10.00214250292629	0	2632	0.25
-1	81	10.253697484731674	0	2632	0.25
-1	83	10.503489961847663	0	2632	0.25
-1	85	10.752437459304929	0	2632	0.25
-1	87	11.00153747946024	0	2632	0.25
-1	89	11.251935004256666	0	2632	0.25
4	90	11.50186997372657	0	2632	0.25
4	91	11.751922499388456	0	2632	0.25
4	92	12.001712461933494	0	2632	0.25
-1	97	12.251544962637126	0	2632	0.25
-1	98	12.501462483778596	0	2632	0.25
-1	101	12.752694957889616	0	2632	0.25
-1	103	13.001790004782379	0	2632	0.25
-1	104	13.251589983701706	1	2632	0.25
-1	105	13.50263748317957	0	2632	0.25
-1	108	13.753607464022934	0	2632	0.25
