COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
-1	1	0.5064524989575148	0	2632	0.5
-1	3	1.0044999606907368	0	2632	0.5
-1	4	1.5034725051373243	0	2632	0.5
-1	6	2.0022049779072404	0	2632	0.5
-1	9	2.502752454020083	0	2632	0.5
4	10	3.004245003685355	0	2632	0.5
-1	12	3.5045824851840734	0	2632	0.5
-1	15	4.003367456607521	0	2632	0.5
1	16	4.502507457509637	0	2632	0.5
4	17	5.00284499488771	0	2632	0.5
1	18	5.503329955972731	0	2632	0.5
-1	23	6.0021624667569995	0	2632	0.5
4	24	6.501954956911504	0	2632	0.5
3	25	7.0028599770739675	0	2632	0.5
4	26	7.502062506973743	0	2632	0.5
-1	30	8.001894964836538	0	2632	0.5
2	31	8.50205747410655	0	2632	0.5
4	32	9.001560006290674	0	2632	0.5
-1	36	9.504570001736283	0	2632	0.5
2	37	10.003107483498752	0	2632	0.5
3	38	10.502072456292808	0	2632	0.5
-1	42	11.001672483980656	0	2632	0.5
-1	44	11.503294981084764	1	2632	0.5
-1	45	12.00277998112142	0	2632	0.5
-1	48	12.501874985173345	0	2632	0.5
3	49	13.002819959074259	0	2632	0.5
2	50	13.50223499815911	0	2632	0.5
1	51	14.003459997475147	0	2632	0.5
4	52	14.502767454832792	0	2632	0.5
-1	59	15.001802458427846	0	2632	0.5
-1	61	15.502324984408915	0	2632	0.5
4	62	16.002254993654788	0	2632	0.5
4	63	16.5042424807325	0	2632	0.5
-1	67	17.00278500560671	0	2632	0.5
4	68	17.503329953178763	0	2632	0.5
1	69	18.002949957735837	0	2632	0.5
-1	72	18.503067484125495	0	2632	0.5
-1	74	19.002939965575933	0	2632	0.5
-1	76	19.502124963328242	0	2632	0.5
-1	79	20.002237502485514	0	2632	0.5
-1	80	20.502030006609857	0	2632	0.5
4	81	21.00262998137623	0	2632	0.5
-1	85	21.50262000504881	0	2632	0.5
-1	87	22.00198247563094	0	2632	0.5
4	88	22.501949993893504	0	2632	0.5
-1	90	23.00275997724384	0	2632	0.5
-1	92	23.501899978145957	1	2632	0.5
-1	93	24.002584973350167	1	2632	0.5
-1	94	24.502149964682758	1	2632	0.5
-1	96	25.00272497534752	0	2632	0.5
-1	101	25.50222996622324	0	2632	0.5
4	102	26.002247454598546	0	2632	0.5
-1	104	26.502252481877804	0	2632	0.5
3	105	27.00186749920249	0	2632	0.5
2	106	27.503982475027442	0	2632	0.5
3	107	28.002837477251887	0	2632	0.5
4	108	28.50188495591283	0	2632	0.5
2	109	29.00274000596255	0	2632	0.5
-1	116	29.502747477963567	0	2632	0.5
3	117	30.002494985237718	0	2632	0.5
4	118	30.504840002395213	0	2632	0.5
-1	122	31.002457500435412	0	2632	0.5
1	123	31.50302748195827	0	2632	0.5
-1	127	32.001762483268976	0	2632	0.5
1	128	32.50368245411664	0	2632	0.5
2	129	33.003097493201494	0	2632	0.5
-1	132	33.50251500494778	0	2632	0.5
2	133	34.002427496016026	0	2632	0.5
-1	136	34.50273749884218	0	2632	0.5
-1	139	35.002562454901636	0	2632	0.5
-1	140	35.502429963089526	0	2632	0.5
-1	142	36.00235745776445	0	2632	0.5
-1	144	36.50268246419728	0	2632	0.5
4	145	37.00230995658785	0	2632	0.5
4	146	37.50236495397985	0	2632	0.5
-1	150	38.00227745901793	0	2632	0.5
-1	153	38.50292250048369	0	2632	0.5
4	154	39.00198749732226	0	2632	0.5
-1	157	39.50253996066749	0	2632	0.5
-1	159	40.00214496161789	0	2632	0.5
4	160	40.50303497817367	0	2632	0.5
-1	162	41.00379246287048	1	2632	0.5
-1	163	41.50257750414312	1	2632	0.5
-1	165	42.00174995698035	1	2632	0.5
-1	167	42.50220995396376	1	2632	0.5
-1	169	43.00206497311592	0	2632	0.5
-1	172	43.50184500217438	0	2632	0.5
4	173	44.001647466793656	0	2632	0.5
4	174	44.504039995372295	0	2632	0.5
4	175	45.003147474490106	0	2632	0.5
-1	180	45.502204983495176	1	2632	0.5
-1	181	46.0032174596563	1	2632	0.5
-1	182	46.50267749559134	0	2632	0.5
4	183	47.00229995884001	0	2632	0.5
-1	189	47.50324997585267	0	2632	0.5
-1	190	48.00267996266484	1	2632	0.5
-1	191	48.50497248116881	0	2632	0.5
-1	195	49.00419245939702	0	2632	0.5
4	196	49.50355248525739	0	2632	0.5
-1	198	50.00543747562915	1	2632	0.5
-1	199	50.50291745457798	2	2632	0.5
-1	200	51.00200748536736	2	2632	0.5
-1	201	51.501727499999106	2	2632	0.5
-1	203	52.002989994362	1	2632	0.5
-1	204	52.502002506516874	0	2632	0.5
-1	210	53.004187499172986	0	2632	0.5
-1	212	53.50234500132501	1	2632	0.5
-1	213	54.00291995611042	0	2632	0.5
-1	216	54.50248997658491	0	2632	0.5
-1	218	55.00271250028163	1	2632	0.5
-1	219	55.50326747819781	0	2632	0.5
1	220	56.00350997876376	0	2632	0.5
-1	225	56.50273997336626	0	2632	0.5
-1	227	57.00249245390296	0	2632	0.5
4	228	57.503100000321865	0	2632	0.5
-1	230	58.00309248268604	1	2632	0.5
-1	231	58.502419986762106	1	2632	0.5
-1	232	59.00278247427195	0	2632	0.5
-1	237	59.503452479839325	0	2632	0.5
