COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
4	1	1.0121324937790632	0	2631	1.0
4	2	2.0040949853137136	0	2631	1.0
-1	4	3.0042074946686625	1	2631	1.0
-1	5	4.003272475674748	0	2631	1.0
-1	8	5.003264998085797	0	2631	1.0
4	9	6.004314953461289	0	2631	1.0
4	10	7.003389964811504	0	2631	1.0
-1	14	8.003309997729957	0	2631	1.0
4	15	9.002490006387234	0	2631	1.0
-1	16	10.002037505619228	0	2631	1.0
-1	21	11.004154980182648	0	2631	1.0
4	22	12.003849959000945	0	2631	1.0
4	23	13.00258997362107	0	2631	1.0
-1	26	14.00301996152848	1	2631	1.0
-1	27	15.003289980813861	0	2631	1.0
4	28	16.00345247425139	0	2631	1.0
-1	33	17.00422746129334	0	2631	1.0
-1	35	18.00346499774605	0	2631	1.0
-1	37	19.003177494741976	0	2631	1.0
4	38	20.00225747935474	0	2631	1.0
-1	40	21.003135005012155	1	2631	1.0
-1	41	22.003112453967333	0	2631	1.0
1	42	23.00340000540018	0	2631	1.0
-1	46	24.00284496601671	1	2631	1.0
-1	47	25.00207745935768	0	2631	1.0
4	48	26.002787458710372	0	2631	1.0
1	49	27.003172505646944	0	2631	1.0
4	50	28.003839966841042	0	2631	1.0
4	51	29.003764973022044	0	2631	1.0
-1	54	30.00352998264134	1	2631	1.0
-1	59	31.002825004979968	0	2631	1.0
4	60	32.00209998060018	0	2631	1.0
-1	65	33.00300498493016	0	2631	1.0
-1	66	34.00324248243123	0	2631	1.0
4	67	35.00340996310115	0	2631	1.0
4	68	36.00308496505022	0	2631	1.0
4	69	37.00299995485693	0	2631	1.0
4	70	38.003479982726276	0	2631	1.0
4	71	39.00336497928947	0	2631	1.0
-1	79	40.00224245712161	0	2631	1.0
-1	80	41.002652454189956	1	2631	1.0
-1	81	42.0023849979043	0	2631	1.0
-1	84	43.003772464580834	1	2631	1.0
-1	85	44.00325750466436	0	2631	1.0
3	86	45.002792458981276	0	2631	1.0
4	87	46.005154978483915	0	2631	1.0
3	88	47.01025998685509	0	2631	1.0
-1	94	48.00376248545945	0	2631	1.0
-1	97	49.002889981493354	0	2631	1.0
4	98	50.00416247639805	0	2631	1.0
-1	101	51.00374249741435	0	2631	1.0
4	102	52.00255746021867	0	2631	1.0
-1	104	53.003374985419214	1	2631	1.0
-1	105	54.00268998462707	0	2631	1.0
4	106	55.00309499446303	0	2631	1.0
2	107	56.00348495878279	0	2631	1.0
-1	112	57.00265247840434	0	2631	1.0
4	113	58.00206996034831	0	2631	1.0
4	114	59.00290746241808	0	2631	1.0
