COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
4	1	1.0081699769943953	0	2632	1.0
4	2	2.002969980239868	0	2632	1.0
-1	4	3.004257478751242	0	2632	1.0
4	5	4.003620003350079	0	2632	1.0
-1	8	5.0024199625477195	1	2632	1.0
-1	9	6.002754955552518	1	2632	1.0
-1	10	7.003890001215041	0	2632	1.0
-1	14	8.004467454738915	0	2632	1.0
1	15	9.003452458418906	0	2632	1.0
-1	18	10.002622506581247	0	2632	1.0
2	19	11.003597457893193	0	2632	1.0
4	20	12.003114963881671	0	2632	1.0
3	21	13.003134964965284	0	2632	1.0
-1	26	14.003130001947284	0	2632	1.0
4	27	15.003942484036088	0	2632	1.0
4	28	16.002779994159937	0	2632	1.0
-1	33	17.002987498417497	0	2632	1.0
-1	35	18.00350496545434	0	2632	1.0
4	36	19.00449000298977	0	2632	1.0
4	37	20.00316245947033	0	2632	1.0
-1	41	21.00256746634841	0	2632	1.0
-1	42	22.00405998621136	0	2632	1.0
4	43	23.002387499436736	0	2632	1.0
-1	44	24.00273995473981	1	2632	1.0
-1	46	25.002812454476953	0	2632	1.0
-1	50	26.003589956089854	0	2632	1.0
-1	52	27.003034986555576	0	2632	1.0
-1	53	28.002697499468923	0	2632	1.0
1	54	29.003359973430634	0	2632	1.0
-1	59	30.002524978481233	0	2632	1.0
-1	61	31.00343748461455	0	2632	1.0
4	62	32.002932485193014	0	2632	1.0
4	63	33.00288498401642	0	2632	1.0
-1	66	34.00335246697068	0	2632	1.0
2	67	35.00252747442573	0	2632	1.0
2	68	36.00253500044346	0	2632	1.0
4	69	37.00315500609577	0	2632	1.0
4	70	38.002377483062446	0	2632	1.0
4	71	39.003469976596534	0	2632	1.0
-1	79	40.003102496266365	0	2632	1.0
-1	80	41.002832455560565	0	2632	1.0
1	81	42.00291750021279	0	2632	1.0
4	82	43.00247747451067	0	2632	1.0
4	83	44.002577466890216	0	2632	1.0
4	84	45.00259998254478	0	2632	1.0
-1	86	46.03857246693224	0	2632	1.0
4	87	47.00562246143818	0	2632	1.0
-1	88	48.00440249964595	0	2632	1.0
-1	96	49.003882496617734	1	2632	1.0
-1	97	50.00328246038407	0	2632	1.0
4	98	51.00345245562494	0	2632	1.0
4	99	52.00314497575164	0	2632	1.0
-1	104	53.00324249546975	0	2632	1.0
4	105	54.00316500104964	0	2632	1.0
4	106	55.0030774762854	0	2632	1.0
2	107	56.003490001894534	0	2632	1.0
2	108	57.00342749711126	0	2632	1.0
4	109	58.003549980930984	0	2632	1.0
4	110	59.003289956599474	0	2632	1.0
