COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
4	1	0.2587524661794305	0	2633	0.25
2	2	0.5032800044864416	0	2633	0.25
4	3	0.7552549755200744	0	2633	0.25
1	4	1.0028199618682265	0	2633	0.25
4	5	1.2537824967876077	0	2633	0.25
4	6	1.5020850067958236	0	2633	0.25
4	7	1.754445000551641	0	2633	0.25
1	8	2.0024949638172984	0	2633	0.25
4	9	2.2520824754610658	0	2633	0.25
1	10	2.5032149953767657	0	2633	0.25
1	11	2.7522299950942397	0	2633	0.25
4	12	3.0019849771633744	0	2633	0.25
4	13	3.252239995636046	0	2633	0.25
4	14	3.501959997229278	0	2633	0.25
1	15	3.7518574856221676	0	2633	0.25
4	16	4.005449996329844	0	2633	0.25
4	17	4.252187465317547	0	2633	0.25
4	18	4.502672455273569	0	2633	0.25
4	19	4.751674979925156	0	2633	0.25
4	20	5.002662478946149	0	2633	0.25
4	21	5.2520175045356154	0	2633	0.25
4	22	5.502039953134954	0	2633	0.25
1	23	5.7519574742764235	0	2633	0.25
4	24	6.002659974619746	0	2633	0.25
4	25	6.252015000209212	0	2633	0.25
4	26	6.502734962850809	0	2633	0.25
2	27	6.752352481707931	0	2633	0.25
4	28	7.002114965580404	0	2633	0.25
4	29	7.2546299966052175	0	2633	0.25
3	30	7.502652481198311	0	2633	0.25
4	31	7.753099976107478	0	2633	0.25
4	32	8.001812458969653	0	2633	0.25
4	33	8.251725006848574	0	2633	0.25
2	34	8.502837480045855	0	2633	0.25
4	35	8.75200746115297	0	2633	0.25
4	36	9.001944959163666	0	2633	0.25
4	37	9.253170001320541	0	2633	0.25
4	38	9.502307460643351	0	2633	0.25
3	39	9.752094964496791	0	2633	0.25
4	40	10.002799979411066	0	2633	0.25
2	41	10.252237496897578	0	2633	0.25
4	42	10.5021099653095	0	2633	0.25
4	43	10.75173245742917	0	2633	0.25
4	44	11.002139998599887	0	2633	0.25
-1	45	11.252614986151457	0	2633	0.25
4	46	11.501722494140267	0	2633	0.25
1	47	11.752022453583777	0	2633	0.25
4	48	12.001584959216416	0	2633	0.25
1	49	12.251832475885749	0	2633	0.25
4	50	12.501584999263287	0	2633	0.25
4	51	12.752772476524115	0	2633	0.25
4	52	13.002099953591824	0	2633	0.25
4	53	13.251592498272657	0	2633	0.25
4	54	13.501862464472651	0	2633	0.25
4	55	13.751739962026477	0	2633	0.25
2	56	14.003814957104623	0	2633	0.25
4	57	14.253009958192706	0	2633	0.25
1	58	14.502717484720051	0	2633	0.25
4	59	14.752037459984422	0	2633	0.25
3	60	15.00172998290509	0	2633	0.25
4	61	15.251894993707538	0	2633	0.25
4	62	15.501617453992367	0	2633	0.25
4	63	15.751667465083301	0	2633	0.25
2	64	16.001317505724728	0	2633	0.25
-1	65	16.2525450065732	0	2633	0.25
4	66	16.502099996432662	0	2633	0.25
4	67	16.752142505720258	0	2633	0.25
4	68	17.001712499186397	0	2633	0.25
3	69	17.251864979043603	0	2633	0.25
4	70	17.5023225042969	0	2633	0.25
4	71	17.75187000632286	0	2633	0.25
4	72	18.002439960837364	0	2633	0.25
4	73	18.2519749738276	0	2633	0.25
4	74	18.50206499453634	0	2633	0.25
-1	75	18.75162750016898	0	2633	0.25
3	76	19.002422466874123	0	2633	0.25
-1	77	19.252667455002666	0	2633	0.25
4	78	19.501962480135262	0	2633	0.25
3	79	19.752952493727207	0	2633	0.25
1	80	20.003977501764894	0	2633	0.25
4	81	20.252182502299547	0	2633	0.25
3	82	20.502840005792677	0	2633	0.25
4	83	20.751872453838587	0	2633	0.25
4	84	21.002550004050136	0	2633	0.25
4	85	21.25190250109881	0	2633	0.25
4	86	21.503107496537268	0	2633	0.25
1	87	21.752040004357696	0	2633	0.25
4	88	22.00274250470102	0	2633	0.25
3	89	22.25209746044129	0	2633	0.25
4	90	22.50184745527804	0	2633	0.25
4	91	22.751969997771084	0	2633	0.25
3	92	23.001752458512783	0	2633	0.25
