COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
4	1	0.20012562489137053	0	2623	0.2
1	2	0.40015137498266995	0	2623	0.2
4	3	0.6000935831107199	0	2623	0.2
3	4	0.8001009160652757	0	2623	0.2
4	5	1.0001252500806004	0	2623	0.2
2	6	1.2001074159052223	0	2623	0.2
4	7	1.4000913330819458	0	2623	0.2
4	8	1.600077958079055	0	2623	0.2
1	9	1.8001136661041528	0	2623	0.2
4	10	2.000065540894866	0	2623	0.2
4	11	2.200093833031133	0	2623	0.2
2	12	2.4000734998844564	0	2623	0.2
1	13	2.6001114998944104	0	2623	0.2
4	14	2.8000584580004215	0	2623	0.2
2	15	3.0001107500866055	0	2623	0.2
4	16	3.200133082922548	0	2623	0.2
2	17	3.4001135830767453	0	2623	0.2
4	18	3.6000937910284847	0	2623	0.2
4	19	3.800112250028178	0	2623	0.2
4	20	4.000100291101262	0	2623	0.2
2	21	4.200144458096474	0	2623	0.2
4	22	4.400107291061431	0	2623	0.2
2	23	4.60008491599001	0	2623	0.2
4	24	4.800115665886551	0	2623	0.2
4	25	5.000092332949862	0	2623	0.2
4	26	5.200100291054696	0	2623	0.2
4	27	5.400088041089475	0	2623	0.2
4	28	5.6000814160797745	0	2623	0.2
3	29	5.800107707967982	0	2623	0.2
4	30	6.000115958042443	0	2623	0.2
4	31	6.200092165963724	0	2623	0.2
4	32	6.400088540976867	0	2623	0.2
4	33	6.6000717910937965	0	2623	0.2
4	34	6.800096791004762	0	2623	0.2
2	35	7.000068583060056	0	2623	0.2
4	36	7.2000909158959985	0	2623	0.2
4	37	7.40008670790121	0	2623	0.2
4	38	7.600070333108306	0	2623	0.2
4	39	7.800092125078663	0	2623	0.2
4	40	8.000087208114564	0	2623	0.2
4	41	8.200070250080898	0	2623	0.2
4	42	8.400136583019048	0	2623	0.2
-1	43	8.600078541086987	0	2623	0.2
4	44	8.800097041064873	0	2623	0.2
2	45	9.000092332949862	0	2623	0.2
4	46	9.200072624953464	0	2623	0.2
1	47	9.400081957923248	0	2623	0.2
4	48	9.600066999904811	0	2623	0.2
4	49	9.800077457912266	0	2623	0.2
4	50	10.000095166033134	0	2623	0.2
3	51	10.20010216603987	0	2623	0.2
4	52	10.400093582924455	0	2623	0.2
4	53	10.600072416011244	0	2623	0.2
4	54	10.800056958105415	0	2623	0.2
4	55	11.000079333083704	0	2623	0.2
4	56	11.200098915956914	0	2623	0.2
4	57	11.400112708099186	0	2623	0.2
4	58	11.600071958033368	0	2623	0.2
4	59	11.80010216590017	0	2623	0.2
4	60	12.000060083111748	0	2623	0.2
4	61	12.200102250091732	0	2623	0.2
3	62	12.400097833015025	0	2623	0.2
4	63	12.600054665934294	0	2623	0.2
4	64	12.800075040897354	0	2623	0.2
4	65	13.00009304098785	0	2623	0.2
3	66	13.200089666061103	0	2623	0.2
4	67	13.400084041059017	0	2623	0.2
4	68	13.600071124965325	0	2623	0.2
4	69	13.800087082898244	0	2623	0.2
4	70	14.000093332957476	0	2623	0.2
2	71	14.20015358296223	0	2623	0.2
1	72	14.40011716610752	0	2623	0.2
4	73	14.6000624159351	0	2623	0.2
2	74	14.800069374963641	0	2623	0.2
3	75	15.000094375107437	0	2623	0.2
1	76	15.200095915934071	0	2623	0.2
2	77	15.400101790903136	0	2623	0.2
4	78	15.600070083048195	0	2623	0.2
2	79	15.80009541590698	0	2623	0.2
1	80	16.00009174994193	0	2623	0.2
4	81	16.20007108291611	0	2623	0.2
4	82	16.40008074999787	0	2623	0.2
