COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
-1	1	1.005904977209866	0	2631	1.0
-1	5	2.003957466222346	1	2631	1.0
-1	6	3.0046500032767653	2	2631	1.0
-1	16	4.003582494333386	4	2631	1.0
-1	17	5.002614953555167	5	2631	1.0
-1	18	6.00298248231411	6	2631	1.0
-1	19	7.003269963897765	8	2631	1.0
-1	23	8.003134983591735	9	2631	1.0
-1	24	9.00290496647358	10	2631	1.0
-1	26	10.002609961666167	11	2631	1.0
-1	30	11.002972503192723	12	2631	1.0
-1	31	12.00259746517986	13	2631	1.0
-1	36	13.002300001680851	13	2631	1.0
-1	37	14.002869953401387	13	2631	1.0
-1	38	15.002704979851842	14	2631	1.0
-1	44	16.002825004979968	14	2631	1.0
-1	46	17.002734965644777	16	2631	1.0
-1	47	18.003424974158406	16	2631	1.0
-1	53	19.002787498757243	17	2631	1.0
-1	54	20.00335500575602	19	2631	1.0
-1	55	21.00328499916941	22	2631	1.0
-1	58	22.00256250333041	24	2631	1.0
-1	65	23.00243249628693	25	2631	1.0
-1	67	24.00285245385021	27	2631	1.0
-1	70	25.00370747409761	28	2631	1.0
-1	76	26.002789973281324	28	2631	1.0
-1	82	27.002535006031394	30	2631	1.0
-1	84	28.00253250170499	32	2631	1.0
-1	85	29.002965004183352	34	2631	1.0
-1	90	30.002724956721067	35	2631	1.0
-1	97	31.002674996852875	38	2631	1.0
-1	98	32.00273250695318	40	2631	1.0
-1	99	33.00280997995287	41	2631	1.0
-1	107	34.00315997656435	41	2631	1.0
-1	108	35.002907454036176	40	2631	1.0
-1	112	36.00362495519221	43	2631	1.0
-1	113	37.00285247527063	45	2631	1.0
-1	117	38.00316996406764	48	2631	1.0
-1	118	39.01842995546758	48	2631	1.0
-1	121	40.00395750626922	49	2631	1.0
-1	122	41.003422499634326	49	2631	1.0
-1	123	42.00296748429537	52	2631	1.0
-1	124	43.00345997326076	54	2631	1.0
-1	125	44.00383997708559	55	2631	1.0
-1	126	45.002739960327744	59	2631	1.0
-1	127	46.00245995912701	62	2631	1.0
-1	133	47.003259966149926	65	2631	1.0
-1	137	48.00340248271823	65	2631	1.0
-1	138	49.00233497377485	67	2631	1.0
-1	140	50.00292995944619	70	2631	1.0
-1	142	51.00300497375429	71	2631	1.0
-1	143	52.002877495251596	73	2631	1.0
-1	147	53.00305500626564	74	2631	1.0
-1	148	54.00280248373747	74	2631	1.0
-1	152	55.00223495531827	75	2631	1.0
-1	156	56.00267747417092	77	2631	1.0
-1	159	57.00244499836117	77	2631	1.0
-1	162	58.00239498261362	79	2631	1.0
-1	164	59.00210747960955	79	2631	1.0
