COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
4	1	0.5095575051382184	0	2633	0.5
2	2	1.0066224541515112	0	2633	0.5
-1	3	1.5052725048735738	0	2633	0.5
4	4	2.002772460691631	0	2633	0.5
1	5	2.5042399764060974	0	2633	0.5
1	6	3.0023474944755435	0	2633	0.5
3	7	3.504615006968379	0	2633	0.5
3	8	4.005312477238476	0	2633	0.5
3	9	4.50439746491611	0	2633	0.5
2	10	5.003409963101149	0	2633	0.5
1	11	5.505279963836074	0	2633	0.5
4	12	6.004417506046593	0	2633	0.5
3	13	6.503044981509447	0	2633	0.5
2	14	7.002627477049828	0	2633	0.5
2	15	7.504020002670586	0	2633	0.5
1	16	8.002504985779524	0	2633	0.5
2	17	8.503594980575144	0	2633	0.5
1	18	9.002557494677603	0	2633	0.5
1	19	9.501857464201748	0	2633	0.5
1	20	10.003107483498752	0	2633	0.5
3	21	10.503302458673716	0	2633	0.5
2	22	11.004347456619143	0	2633	0.5
3	23	11.503622462041676	0	2633	0.5
1	24	12.002927460707724	0	2633	0.5
3	25	12.504267473705113	0	2633	0.5
3	26	13.00363997463137	0	2633	0.5
2	27	13.50297995377332	0	2633	0.5
2	28	14.003792465664446	0	2633	0.5
2	29	14.504004959017038	0	2633	0.5
2	30	15.004277466796339	0	2633	0.5
2	31	15.503767495974898	0	2633	0.5
3	32	16.003757463768125	0	2633	0.5
3	33	16.503582475706935	0	2633	0.5
1	34	17.00265996158123	0	2633	0.5
3	35	17.503102496266365	0	2633	0.5
2	36	18.005115003325045	0	2633	0.5
2	37	18.502624975517392	0	2633	0.5
2	38	19.00187747552991	0	2633	0.5
3	39	19.505122499540448	0	2633	0.5
3	40	20.002815001644194	0	2633	0.5
1	41	20.502585000358522	0	2633	0.5
3	42	21.003069961443543	0	2633	0.5
3	43	21.50344499386847	0	2633	0.5
2	44	22.002212461084127	0	2633	0.5
2	45	22.505122502334416	0	2633	0.5
3	46	23.003469966351986	0	2633	0.5
4	47	23.50328250322491	0	2633	0.5
1	48	24.00451746303588	0	2633	0.5
3	49	24.503689985722303	0	2633	0.5
2	50	25.0040474999696	0	2633	0.5
2	51	25.50363749731332	0	2633	0.5
1	52	26.00199497770518	0	2633	0.5
4	53	26.50200000498444	0	2633	0.5
4	54	27.004634994082153	0	2633	0.5
3	55	27.50289000570774	0	2633	0.5
2	56	28.004417465999722	0	2633	0.5
4	57	28.50384498015046	0	2633	0.5
2	58	29.003449981100857	0	2633	0.5
4	59	29.503547460772097	0	2633	0.5
1	60	30.002289963886142	0	2633	0.5
4	61	30.5018874630332	0	2633	0.5
3	62	31.003539953380823	0	2633	0.5
1	63	31.503797457553446	0	2633	0.5
3	64	32.003957466222346	0	2633	0.5
1	65	32.503659962676466	0	2633	0.5
3	66	33.003192474134266	0	2633	0.5
1	67	33.5037774592638	0	2633	0.5
3	68	34.00332000106573	0	2633	0.5
4	69	34.503392460756004	0	2633	0.5
3	70	35.00395499635488	0	2633	0.5
2	71	35.50302995368838	0	2633	0.5
4	72	36.00383747834712	0	2633	0.5
1	73	36.50305499788374	0	2633	0.5
1	74	37.004209980368614	0	2633	0.5
4	75	37.50307499896735	0	2633	0.5
1	76	38.004047465510666	0	2633	0.5
3	77	38.50507500115782	0	2633	0.5
4	78	39.00445746257901	0	2633	0.5
2	79	39.50409498531371	0	2633	0.5
4	80	40.00210746657103	0	2633	0.5
1	81	40.50442746374756	0	2633	0.5
3	82	41.00745750591159	0	2633	0.5
2	83	41.50450746528804	0	2633	0.5
1	84	42.0070349983871	0	2633	0.5
3	85	42.504939953796566	0	2633	0.5
4	86	43.00328495912254	0	2633	0.5
3	87	43.50447750650346	0	2633	0.5
3	88	44.00478498078883	0	2633	0.5
2	89	44.502924964763224	0	2633	0.5
3	90	45.002689976245165	0	2633	0.5
1	91	45.504992455244064	0	2633	0.5
3	92	46.00305000320077	0	2633	0.5
3	93	46.50264497380704	0	2633	0.5
3	94	47.001889985986054	0	2633	0.5
1	95	47.50452497508377	0	2633	0.5
1	96	48.00339749548584	0	2633	0.5
4	97	48.502489984966815	0	2633	0.5
4	98	49.00498248171061	0	2633	0.5
2	99	49.50490746181458	0	2633	0.5
3	100	50.00289246439934	0	2633	0.5
3	101	50.504482495598495	0	2633	0.5
1	102	51.00443249568343	0	2633	0.5
4	103	51.50343497749418	0	2633	0.5
1	104	52.00301747303456	0	2633	0.5
4	105	52.5039399554953	0	2633	0.5
2	106	53.00438496284187	0	2633	0.5
3	107	53.503354978747666	0	2633	0.5
4	108	54.00425249710679	0	2633	0.5
4	109	54.5027199620381	0	2633	0.5
4	110	55.002617463469505	0	2633	0.5
1	111	55.50327498000115	0	2633	0.5
3	112	56.00273496005684	0	2633	0.5
1	113	56.50406249798834	0	2633	0.5
3	114	57.00291750021279	0	2633	0.5
1	115	57.502514999359846	0	2633	0.5
3	116	58.00396248232573	0	2633	0.5
2	117	58.50273996591568	0	2633	0.5
1	118	59.00355996564031	0	2633	0.5
1	119	59.50377996079624	0	2633	0.5
