COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
1	1	0.2604724746197462	0	2623	0.25
1	2	0.5034499755129218	0	2623	0.25
1	3	0.7526074815541506	0	2623	0.25
1	4	1.0052349558100104	0	2623	0.25
-1	5	1.2526474753394723	0	2623	0.25
1	6	1.502115000039339	0	2623	0.25
1	7	1.7538424814119935	0	2623	0.25
1	8	2.0023824647068977	0	2623	0.25
-1	9	2.2528524650260806	0	2623	0.25
1	10	2.505107461474836	0	2623	0.25
1	11	2.7529699774459004	0	2623	0.25
1	12	3.003362459130585	0	2623	0.25
-1	13	3.252572463825345	0	2623	0.25
1	14	3.50378496106714	0	2623	0.25
1	15	3.7523850006982684	0	2623	0.25
1	16	4.004717459902167	0	2623	0.25
-1	17	4.253222462721169	0	2623	0.25
1	18	4.502622485160828	0	2623	0.25
1	19	4.752169973216951	0	2623	0.25
1	20	5.004177480004728	0	2623	0.25
-1	21	5.253272457048297	0	2623	0.25
1	22	5.502987485378981	0	2623	0.25
1	23	5.7522099651396275	0	2623	0.25
1	24	6.002542502246797	0	2623	0.25
-1	25	6.2524849735200405	0	2623	0.25
1	26	6.502080000936985	0	2623	0.25
1	27	6.754502453841269	0	2623	0.25
1	28	7.003454994410276	0	2623	0.25
-1	29	7.2525024600327015	0	2623	0.25
1	30	7.503529982641339	0	2623	0.25
1	31	7.752514975145459	0	2623	0.25
1	32	8.002005005255342	0	2623	0.25
-1	33	8.252172474749386	0	2623	0.25
1	34	8.502167458646	0	2623	0.25
1	35	8.753334959037602	0	2623	0.25
1	36	9.004479954019189	0	2623	0.25
-1	37	9.252492478117347	0	2623	0.25
1	38	9.502577455714345	0	2623	0.25
1	39	9.754192493855953	0	2623	0.25
1	40	10.003307461738586	0	2623	0.25
-1	41	10.253719976171851	0	2623	0.25
1	42	10.502625005319715	0	2623	0.25
1	43	10.753287482075393	0	2623	0.25
1	44	11.002487456426024	0	2623	0.25
-1	45	11.252082483842969	0	2623	0.25
1	46	11.503449962474406	0	2623	0.25
1	47	11.75218247808516	0	2623	0.25
1	48	12.001632484607399	0	2623	0.25
-1	49	12.253560000099242	0	2623	0.25
1	50	12.502487464807928	0	2623	0.25
1	51	12.753304978832603	0	2623	0.25
1	52	13.00288500264287	0	2623	0.25
-1	53	13.251889985986054	0	2623	0.25
1	54	13.50142499897629	0	2623	0.25
1	55	13.753935000859201	0	2623	0.25
1	56	14.003659975714982	0	2623	0.25
-1	57	14.252407494932413	0	2623	0.25
1	58	14.502917462959886	0	2623	0.25
1	59	14.753284980542958	0	2623	0.25
1	60	15.002492456696928	0	2623	0.25
-1	61	15.253089959733188	0	2623	0.25
1	62	15.503839985467494	0	2623	0.25
1	63	15.752722495235503	0	2623	0.25
1	64	16.003147498704493	0	2623	0.25
-1	65	16.25359247904271	0	2623	0.25
1	66	16.502817473374307	0	2623	0.25
1	67	16.752557465806603	0	2623	0.25
1	68	17.003707503899932	0	2623	0.25
-1	69	17.252374975942075	0	2623	0.25
1	70	17.50403748359531	0	2623	0.25
1	71	17.752419956959784	0	2623	0.25
1	72	18.002079958096147	0	2623	0.25
-1	73	18.253314960747957	0	2623	0.25
1	74	18.502892456017435	0	2623	0.25
1	75	18.753717485815287	0	2623	0.25
1	76	19.002692461945117	0	2623	0.25
-1	77	19.25282747950405	0	2623	0.25
1	78	19.503504959866405	0	2623	0.25
1	79	19.75299497600645	0	2623	0.25
1	80	20.001822486519814	0	2623	0.25
-1	81	20.252955006435513	0	2623	0.25
1	82	20.50543500110507	0	2623	0.25
1	83	20.752512481994927	0	2623	0.25
1	84	21.00165245588869	0	2623	0.25
-1	85	21.253449954092503	0	2623	0.25
1	86	21.502417498268187	0	2623	0.25
1	87	21.753642484545708	0	2623	0.25
1	88	22.002707454375923	0	2623	0.25
-1	89	22.252199999056756	0	2623	0.25
1	90	22.50475248321891	0	2623	0.25
1	91	22.753529995679855	0	2623	0.25
1	92	23.002729984000325	0	2623	0.25
-1	93	23.252059975638986	0	2623	0.25
1	94	23.503719954751432	0	2623	0.25
1	95	23.75224746298045	0	2623	0.25
1	96	24.001557477749884	0	2623	0.25
-1	97	24.25312500447035	0	2623	0.25
1	98	24.502129973843694	0	2623	0.25
1	99	24.754097457043827	0	2623	0.25
1	100	25.003974954597652	0	2623	0.25
-1	101	25.25234999600798	0	2623	0.25
1	102	25.503262504935265	0	2623	0.25
1	103	25.75213745702058	0	2623	0.25
1	104	26.001737457700074	0	2623	0.25
-1	105	26.25179249793291	0	2623	0.25
1	106	26.501709963195026	0	2623	0.25
1	107	26.75310497637838	0	2623	0.25
1	108	27.002912457101047	0	2623	0.25
-1	109	27.25270247552544	0	2623	0.25
1	110	27.503304965794086	0	2623	0.25
1	111	27.752370005473495	0	2623	0.25
1	112	28.00311000086367	0	2623	0.25
-1	113	28.25348250567913	0	2623	0.25
1	114	28.502127486281097	0	2623	0.25
1	115	28.753684982657433	0	2623	0.25
1	116	29.002584954723716	0	2623	0.25
-1	117	29.25224495586008	0	2623	0.25
1	118	29.503467483446002	0	2623	0.25
1	119	29.752199999056756	0	2623	0.25
1	120	30.00223746523261	0	2623	0.25
-1	121	30.25338497478515	0	2623	0.25
1	122	30.502704964019358	0	2623	0.25
1	123	30.75222000014037	0	2623	0.25
1	124	31.002079979516566	0	2623	0.25
-1	125	31.25179247930646	0	2623	0.25
1	126	31.503465003333986	0	2623	0.25
1	127	31.753447498194873	0	2623	0.25
1	128	32.004379983991385	0	2623	0.25
-1	129	32.25283500272781	0	2623	0.25
1	130	32.50207997392863	0	2623	0.25
1	131	32.755772466771305	0	2623	0.25
1	132	33.004020005464554	0	2623	0.25
-1	133	33.25290750246495	0	2623	0.25
1	134	33.502722484990954	0	2623	0.25
1	135	33.75165497884154	0	2623	0.25
1	136	34.0019925031811	0	2623	0.25
-1	137	34.251969954930246	0	2623	0.25
1	138	34.50175997335464	0	2623	0.25
1	139	34.752259980887175	0	2623	0.25
1	140	35.00167500693351	0	2623	0.25
-1	141	35.2547724545002	0	2623	0.25
1	142	35.50397249870002	0	2623	0.25
1	143	35.75384249445051	0	2623	0.25
1	144	36.00258245598525	0	2623	0.25
-1	145	36.25237997621298	0	2623	0.25
1	146	36.50183249730617	0	2623	0.25
1	147	36.75407747738063	0	2623	0.25
1	148	37.003089962527156	0	2623	0.25
-1	149	37.25351249333471	0	2623	0.25
1	150	37.50377249903977	0	2623	0.25
1	151	37.753527481108904	0	2623	0.25
1	152	38.00219249445945	0	2623	0.25
-1	153	38.25179495383054	0	2623	0.25
1	154	38.50187249947339	0	2623	0.25
1	155	38.75340246129781	0	2623	0.25
1	156	39.002014975994825	0	2623	0.25
-1	157	39.25348499324173	0	2623	0.25
1	158	39.50348250567913	0	2623	0.25
1	159	39.752089977264404	0	2623	0.25
1	160	40.00194245483726	0	2623	0.25
-1	161	40.252432501874864	0	2623	0.25
1	162	40.50189498346299	0	2623	0.25
1	163	40.75425000395626	0	2623	0.25
1	164	41.00292000453919	0	2623	0.25
