COMMAND	LOGICAL_TIME	TRUE_TIME	QUEUE_SIZE	SELF_PORT	SELF_INTERVAL
4	1	1.0001073330640793	0	2621	1.0
3	2	2.000085791107267	0	2621	1.0
4	3	3.000085541047156	0	2621	1.0
4	4	4.000124915968627	0	2621	1.0
4	5	5.0001177079975605	0	2621	1.0
4	6	6.000069832894951	0	2621	1.0
4	7	7.000111666042358	0	2621	1.0
-1	15	8.0000975409057	0	2621	1.0
-1	16	9.000102166086435	1	2621	1.0
-1	17	10.000093665905297	1	2621	1.0
-1	19	11.000080999918282	1	2621	1.0
-1	20	12.000102374935523	1	2621	1.0
-1	23	13.00006733299233	1	2621	1.0
-1	25	14.000102708116174	1	2621	1.0
-1	27	15.000090332934633	0	2621	1.0
-1	30	16.000136082991958	0	2621	1.0
-1	32	17.000081999925897	0	2621	1.0
2	33	18.000073665985838	0	2621	1.0
4	34	19.000107083003968	0	2621	1.0
-1	38	20.000102583086118	1	2621	1.0
-1	39	21.000131333013996	1	2621	1.0
-1	40	22.00007349997759	0	2621	1.0
-1	45	23.00012645800598	0	2621	1.0
-1	46	24.000126082915813	0	2621	1.0
-1	49	25.000119915930554	0	2621	1.0
-1	51	26.000076124910265	0	2621	1.0
4	52	27.000113958027214	0	2621	1.0
-1	55	28.00013266596943	0	2621	1.0
2	56	29.00013579102233	0	2621	1.0
-1	58	30.000068875029683	0	2621	1.0
-1	60	31.00012837490067	0	2621	1.0
2	61	32.000128041021526	0	2621	1.0
2	62	33.00012012501247	0	2621	1.0
4	63	34.00007833307609	0	2621	1.0
4	64	35.000108333071694	0	2621	1.0
-1	71	36.00012741610408	1	2621	1.0
-1	72	37.00016091600992	0	2621	1.0
-1	74	38.00011687492952	2	2621	1.0
-1	75	39.00016437494196	1	2621	1.0
-1	76	40.00012591597624	1	2621	1.0
-1	79	41.00011829100549	1	2621	1.0
-1	80	42.0000698750373	1	2621	1.0
-1	82	43.000134540954605	0	2621	1.0
2	83	44.00014641601592	0	2621	1.0
2	84	45.000132750021294	0	2621	1.0
-1	90	46.00007999991067	0	2621	1.0
4	91	47.000100624980405	0	2621	1.0
3	92	48.0001137079671	0	2621	1.0
-1	96	49.000135665992275	0	2621	1.0
-1	99	50.000096540898085	0	2621	1.0
-1	101	51.00013166596182	0	2621	1.0
1	102	52.00010804110207	0	2621	1.0
4	103	53.000120165990666	0	2621	1.0
-1	106	54.000121040968224	1	2621	1.0
-1	107	55.00012704101391	0	2621	1.0
4	108	56.00012733298354	0	2621	1.0
-1	112	57.00012416602112	0	2621	1.0
-1	115	58.000075333053246	0	2621	1.0
-1	116	59.00014366605319	0	2621	1.0
